GEOID,Pop2017,Pop2013
53033029700,8051,7623
53033029801,9466,7828
53033029802,9297,9428
53033029901,4610,5181
53033029902,4092,4123
53033030003,6295,6095
53033030004,8302,8141
53033030005,5632,5049
53033030006,4109,3723
53033030100,7934,7204
53033030201,5676,5262
53033030202,6625,6214
53033030304,3644,3153
53033030305,5250,5104
53033030306,5803,6086
53033030308,6575,6478
53033030309,5793,5811
53033030310,6206,5686
53033030311,5577,5395
53033030312,5008,4772
53033030313,3747,3642
53033030314,4340,4385
53033030401,9736,9043
53033030403,4495,4410
53033030404,4930,4846
53033030501,1762,2112
53033030503,5942,4819
53033030504,4396,4334
53033030600,5874,5219
53033030700,3916,3885
53033030801,7126,7440
53033030802,3894,4161
53033030901,3610,3500
53033030902,6308,5795
53033031000,3944,3225
53033031100,6744,6463
53033031202,6300,6484
53033031204,6169,5813
53033031205,6892,6993
53033031206,5327,4655
53033031301,2922,2654
53033031302,3927,4127
53033031400,6057,6032
53033031501,3860,4259
53033031502,4320,4354
53033031601,5567,5427
53033031603,6305,5793
53033031604,5549,5110
53033031605,3867,3653
53033031703,7137,6101
53033031704,5459,4825
53033031705,4133,3823
53033031706,7370,6809
53033031800,4625,4802
53033031903,6767,7003
53033031904,3358,3907
53033031906,3875,3564
53033031907,7787,7610
53033031908,4439,5028
53033031909,2919,3475
53033032002,3304,3274
53033032003,5273,5501
53033032005,7361,6897
53033032006,5393,4384
53033032007,3616,3745
53033032008,4710,4057
53033032010,5810,5273
53033032011,4307,4200
53033032102,5019,5113
53033032103,4915,3969
53033032104,6274,6367
53033032203,7919,6846
53033032207,3701,3192
53033032208,9749,7899
53033032210,13671,11153
53033032211,5009,5198
53033032212,8240,8959
53033032213,4538,4673
53033032214,6415,6393
53033032215,5197,5031
53033032307,6567,6875
53033032309,7459,5679
53033032311,6192,5892
53033032313,6606,6703
53033032315,5484,5796
53033032316,5512,5519
53033032317,6211,6194
53033032318,6176,5610
53033032319,5696,4671
53033032320,4598,4236
53033032321,5780,4948
53033032322,3616,3768
53033032323,5867,5484
53033032324,5436,4953
53033032325,5823,5207
53033032326,4122,4142
53033032327,4066,4369
53033032328,3476,3682
53033032329,9212,8321
53033032401,6302,5939
53033032402,6518,6130
53033032500,5483,5495
53033032601,2792,2895
53033032602,13392,11554
53033032702,6638,6551
53033032703,2376,1972
53033032704,6641,5907
53033032800,2351,2531
53033990100,0,0
